127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000712
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/share.js, HTTP/1.1, 200, 0.001104
127.0.0.1, 2015-07-05 19:14:05, GET, /test1/static/images/background.jpg, HTTP/1.1, 200, 0.001476
127.0.0.1, 2015-07-05 19:14:05, GET, /test1/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000852
127.0.0.1, 2015-07-05 19:14:05, GET, /test1/static/images/twitter.png, HTTP/1.1, 200, 0.000850
127.0.0.1, 2015-07-05 19:14:05, GET, /test1/static/images/facebook.png, HTTP/1.1, 200, 0.000708
127.0.0.1, 2015-07-05 19:14:05, GET, /test1/static/images/gplus-32.png, HTTP/1.1, 200, 0.001369
127.0.0.1, 2015-07-05 19:14:05, GET, /test1/static/images/favicon.ico, HTTP/1.1, 200, 0.000737
127.0.0.1, 2015-07-05 19:14:08, GET, /admin/default/site, HTTP/1.1, 200, 0.120551
127.0.0.1, 2015-07-05 19:14:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000412
127.0.0.1, 2015-07-05 19:14:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000726
127.0.0.1, 2015-07-05 19:14:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000781
127.0.0.1, 2015-07-05 19:14:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000454
127.0.0.1, 2015-07-05 19:14:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000689
127.0.0.1, 2015-07-05 19:14:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000424
127.0.0.1, 2015-07-05 19:14:13, POST, /admin/default/enable/test1, HTTP/1.1, 200, 0.065758
127.0.0.1, 2015-07-05 19:14:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000467
127.0.0.1, 2015-07-05 19:14:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000878
127.0.0.1, 2015-07-05 19:14:14, GET, /favicon.ico, HTTP/1.1, 400, 0.002092
